CollationId,Variant,Classic
40001017016,,μετοικεσιασ
40001017017,,βαβυλωνοσ
40001017018,,γενεαι
40001017019,,δεκατεσσαρεσ
40001017020,,και
40001017021,,απο
40001017022,,τησ
40001017023,,μετοικεσιασ
40001017024,,βαβυλωνοσ
40001017025,,εωσ
40001017026,,του
40001017027,,χριστου
40001017028,,γενεαι
40001017029,,δεκατεσσαρεσ
40001018001,,του
40001018002,,δε
40001018003,V,χριστου
40001018004,V,ιησου
40001018005,V,χριστου
40001018006,,η
40001018007,V,γενεσισ
40001018008,V,γεννησισ
40001018009,,ουτωσ
40001018010,,ην
40001018011,,μνηστευθεισησ
40001018012,V,γαρ
40001018013,,τησ
40001018014,,μητροσ
40001018015,,αυτου
40001018016,,μαριασ
40001018017,,τω
40001018018,,ιωσηφ
40001018019,,πριν
40001018020,,η
40001018021,,συνελθειν
40001018022,,αυτουσ
40001018023,,ευρεθη
40001018024,,εν
40001018025,,γαστρι
40001018026,,εχουσα
40001018027,,εκ
40001018028,,πνευματοσ
40001018029,,αγιου
40001019001,,ιωσηφ
40001019002,,δε
40001019003,,ο
40001019004,,ανηρ
40001019005,,αυτησ
40001019006,,δικαιοσ
40001019007,,ων
40001019008,,και
40001019009,,μη
40001019010,,θελων
40001019011,,αυτην
40001019012,V,δειγματισαι
40001019013,V,παραδειγματισαι
40001019014,,εβουληθη
40001019015,,λαθρα
40001019016,,απολυσαι
40001019017,,αυτην
40001020001,,ταυτα
40001020002,,δε
40001020003,,αυτου
40001020004,,ενθυμηθεντοσ
40001020005,,ιδου
40001020006,,αγγελοσ
40001020007,,κυριου
40001020008,V,εφανη
40001020009,V,κατ
40001020010,V,οναρ
40001020011,V,εφανη
40001020012,,αυτω
40001020013,,λεγων
40001020014,,ιωσηφ
40001020015,,υιοσ
40001020016,,δαυιδ
40001020017,,μη
40001020018,,φοβηθησ
40001020019,,παραλαβειν
40001020020,,μαριαμ
40001020021,,την
40001020022,,γυναικα
40001020023,,σου
40001020024,,το
40001020025,,γαρ
40001020026,,εν
40001020027,,αυτη
40001020028,,γεννηθεν
40001020029,,εκ
40001020030,,πνευματοσ
40001020031,V,εστιν
40001020032,V,αγιου
40001020033,V,εστιν
40001021001,,τεξεται
40001021002,,δε
40001021003,,υιον
40001021004,,και
40001021005,,καλεσεισ
40001021006,,το
40001021007,,ονομα
40001021008,V,αυτου
40001021009,,ιησουν
40001021010,,αυτοσ
40001021011,,γαρ
40001021012,,σωσει
40001021013,,τον
40001021014,,λαον
40001021015,,αυτου
40001021016,,απο
40001021017,,των
40001021018,,αμαρτιων
40001021019,,αυτων
40001022001,,τουτο
40001022002,,δε
40001022003,,ολον
40001022004,,γεγονεν
40001022005,,ινα
40001022006,,πληρωθη
40001022007,,το
40001022008,,ρηθεν
40001022009,,υπο
40001022010,V,του
40001022011,,κυριου
40001022012,,δια
40001022013,V,ησαιου
40001022014,,του
40001022015,,προφητου
40001022016,,λεγοντοσ
40001023001,,ιδου
40001023002,,η
40001023003,,παρθενοσ
